Sick,Recovered,Dead,Vaccinated,Immune,Susceptible
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.900000000000000000e+02
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.890000000000000000e+02
6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,9.880000000000000000e+02
4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,9.870000000000000000e+02
2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,9.860000000000000000e+02
0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,9.850000000000000000e+02
0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,9.820000000000000000e+02
0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,9.790000000000000000e+02
0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,9.760000000000000000e+02
0.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,9.730000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,9.700000000000000000e+02
0.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.670000000000000000e+02
0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,9.640000000000000000e+02
0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,9.610000000000000000e+02
0.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,1.400000000000000000e+01,9.580000000000000000e+02
0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000000e+01,9.550000000000000000e+02
0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,1.600000000000000000e+01,9.520000000000000000e+02
0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,1.700000000000000000e+01,9.490000000000000000e+02
0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,1.800000000000000000e+01,9.460000000000000000e+02
0.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,1.900000000000000000e+01,9.430000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,9.400000000000000000e+02
0.000000000000000000e+00,2.100000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,2.100000000000000000e+01,9.370000000000000000e+02
0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,2.200000000000000000e+01,9.340000000000000000e+02
0.000000000000000000e+00,2.300000000000000000e+01,0.000000000000000000e+00,2.300000000000000000e+01,2.300000000000000000e+01,9.310000000000000000e+02
0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,2.400000000000000000e+01,9.280000000000000000e+02
0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01,9.250000000000000000e+02
0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,2.600000000000000000e+01,2.600000000000000000e+01,9.220000000000000000e+02
0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000000e+01,9.190000000000000000e+02
0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.160000000000000000e+02
0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,2.900000000000000000e+01,2.900000000000000000e+01,9.130000000000000000e+02
0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.000000000000000000e+01,9.100000000000000000e+02
